,block_mined,gas,gas_price,hashpower_accepting,round_gp_10gwei,time_mined,tx_cost
"b'.\x1esQ\xee*\x07\xac\xdc\x87\x97N\x1dW\xab`4\r9\xbfg\xb9B""\x08\xa9\x86\x8fW\xd1e\x08'",8934630.0,4712388.0,16000000000.0,100.0,160.0,1573766197.0,753982080.0
b'.\x7fa\xcd\xb7Z\xe8&\xf0\x0f-\x05|\x8f\xca:\x84W\x13\xc2rdb\xde\xcc\x9e`\xa0\xa7a4F',8934634.0,21000.0,1000000000.0,36.0,10.0,1573766286.0,
b'.\xb7\x93\xf8@\xfb0\xec\\6\xffy>\xf0P\xe1h\xc9\x83\x19z\x99\xd9}\xb2Z\x1a\xdb\xddo\x197',8934630.0,5000000.0,2000000000.0,36.0,20.0,1573766197.0,100000000.0
b'/06\xe5svtV\xed)\x87\x9c6\xf5X\xdd\xec\x8a\xb9\x8cDG\xba\xe5G7\xf3\xb3I\xba\x1e\xb8',8934633.0,54466.0,30000000000.0,100.0,300.0,1573766280.0,16339800.0
"b'0?y\xaa\'\x1a\xc8\x10\xa3\x91\xd1}\xd0\xd5)lV\x1c]""AE\xa6?\x85\xdc\x1e\x1c\xa6\xad\x8b\xd9'",8934629.0,90000.0,10000000000.0,100.0,100.0,1573766190.0,9000000.0
"b'0\xc2\x8d\xc6\x16\xad\xd6\x98\x9e\x9b\xbd\xf3\x9amh\x01hD\x84am0\x8b\x7f\x0f,\xd7\xd1!R\xa9]'",8934630.0,130000.0,25000000000.0,100.0,250.0,1573766197.0,32500000.0
b'0\xf0\xd4\xdd\xc4\x846\xc2\xadR\x92\xc2\xe4\xe2\x85\x0f\x12\x14w\x05\xe3&:\x15\x89\xc1\tr\xd4$a\x12',8934629.0,21000.0,30000000000.0,100.0,300.0,1573766190.0,6300000.0
"b""1'*\xf4=\xa1u\xaac\xb1&\xdesp\xfb\x9ee\xa4\xdc\xdfG\xd4\xf6F\x82&\x0e>@}|S""",8934626.0,80000.0,30000000000.0,100.0,300.0,1573766161.0,24000000.0
"b'1\xf3\xc2Qd~,\x11\xe3\x0f\xc6k\xe3\xe3=\xb1\xc6\x17\xc2\xbaY\xe4p\x9f;\x12\xf0\xf2\x86ad\xce'",8934630.0,21000.0,2000000000.0,36.0,20.0,1573766197.0,420000.0
b'2\xb1Cm\xd3\xe5\rH\xe3\xc6_\xa6\xf4-U\xab~\xce\x88P\xbah}\xb2.\x95)\x8b\x8f@\x9b\x9f',8934634.0,44339.0,1000000000.0,36.0,10.0,1573766286.0,
b'2\xd2\x1d\xccY]\x11\xc7LXZuJ;D\xb8\x92\xfa\xcc\x80\xc0\x16\x8e\x8a\xe4y\xcaY$Zv\x12',8934634.0,47585.0,1000000000.0,36.0,10.0,1573766286.0,
b'3\xab\xa6\x93%\xa9\xd8_\xa0\xa7[\xa3r)\x0cd\xaf\xd0\xed\x9c\x8f\xdd\xb8dEW\xcc\xc7\x1aN\x9b\x9f',8934630.0,21000.0,1000000000.0,36.0,10.0,1573766197.0,210000.0
"b'4[g\xaa)bY\xef\xd9%S7ZW\xd1F\x85\xfb,<\xe9DG\xbc\xe5\x11W3j\x98B\xc1'",8934633.0,95000.0,19000000000.0,100.0,190.0,1573766280.0,18050000.0
b'4\x914\x01/\x9f\xd1vI\x1d\xee2\x1f\xb9\x94\\~F\xa2q\xb6F\x11A\xd4\xd9g\x93AN\xdf0',8934633.0,120000.0,10000000000.0,100.0,100.0,1573766280.0,12000000.0
b'4\xd1Oz9\xea==!\xf6\x1e;3\xe3\x05F\xba\xa1]\xdb\xb3\x88wtn|7\\Zc\x07\xb9',8934630.0,54466.0,30000000000.0,100.0,300.0,1573766197.0,16339800.0
"b""4\xffGc\x15;\x84C\x81\xf9\x1b\xdc\xb1UN\xeb\xbeoqG\x85\x0b\xd3$\x0f'ge\xca\xa0BI""",8934629.0,5000000.0,2000000000.0,36.0,20.0,1573766190.0,100000000.0
b'56\x8d\xcd\xaa\x87\xda9=\x81\n\xdd\xac_8\xd3\xdb\xe8S\x80\x0f?\x99a\x84\xac\xb5\x95\x0b:f\xb3',8934630.0,85776.0,8000000000.0,64.00000000000001,80.0,1573766197.0,6862080.0
b'5\x90\xea\xbe\x01!\x91\x8bp\xca>\x89\x13s;Bb8\xb3E\x0e\xbbz\xd7\xed^\xa4\x18\xaa\xaa\xb6S',8934630.0,21000.0,1000000000.0,36.0,10.0,1573766197.0,210000.0
"b'6\x1dH\x04\x93U\xa7\xa6\xae,\x8b\xce\x7fl\xe1ON\xa2\x9d\xdd\x88X\xa6\xbbn.\xd0\xbc\xf7\xef\x0fF'",8934630.0,90000.0,1000000000.0,36.0,10.0,1573766197.0,900000.0
b'7\xa1g\x9cb<\xe4DU?\xe4\x86\x00\xe5\x07\xb7U\x89\x08\xc2\x06\x88$\x07\x0e\x1b\xd3\x86BD\xf1\xd3',8934631.0,100000.0,10000000000.0,100.0,100.0,1573766237.0,10000000.0
b'7\xfe!\x902\x8f\xc8I\xa6=J\xed\xa7\x01v\xee\x99\xea\xd7\x06A\x9d\x0c_*$\\\xf5\xd3\xb0-\xe5',8934633.0,200000.0,10000000000.0,100.0,100.0,1573766280.0,20000000.0
"b'8\xc2\xa6\xb8\x7f\x10.7\xda\x93\xbfaZ\xa5q\xf6\xfe\xed\xad\xe1\x9a.s\x01Q\xc1""^x\xfb\x04o'",8934634.0,90000.0,1200000000.0,36.0,10.0,1573766286.0,
"b'9\x16_\xa2\x05\xf8\xabS6cW|7\x84\x18=\x02*\x7f,\xc5\x1a\x0e\x06\x1dzHS# BB'",8934631.0,90000.0,26000000000.0,100.0,260.0,1573766237.0,23400000.0
b'9!\x0f\xd2\xf4\xbc\x9a_\tU\x1f\xe3\x9f\xf5\xe5GH\x00\x97\x98\xd6Y\x00\x9b\xdb\x1a\xed\xa7#\xdf\xe4\xf6',8934626.0,54466.0,30000000000.0,100.0,300.0,1573766161.0,16339800.0
"b""9P'/\xd41\xdd;\xbd\x19\xb4c\xeb=oPI+$\x827/{tq\xc7=\xae\x96\x03\xe1\x87""",8934631.0,200000.0,19000000000.0,100.0,190.0,1573766237.0,38000000.0
